tax_id,annual_income,credit_score,payment_history,employment_length,debt_to_income_ratio,age,num_credit_cards,num_loan_accounts,total_credit_limit,credit_utilization_ratio,auto_loan_limit,loan_eligible,risk_score,risk_category,max_loan_term,interest_rate
100-10-1000,45721.36,732,29.7405,16.2,0.5397,55.117679137421625,5,2,35771.18,0.3243,0,False,62.00556575757575,Moderate Risk,60,11.689165136363638
101-10-1001,65573.04,766,74.2827,15.1,0.3748,48.66431914340686,3,2,44402.47,0.4278,202000,True,75.34329545454545,Low Risk,72,9.688505681818182
102-10-1002,42474.53,734,77.4272,20.4,0.5229,47.760165882858416,3,5,35822.71,0.6607,0,False,65.42289390151515,Low Risk,72,11.176565914772727
103-10-1003,258907.83,720,48.4829,3.3,0.5191,47.76031914711588,0,0,160637.17,0.276,0,False,64.17735272727273,Moderate Risk,60,11.36339709090909
104-10-1004,36649.63,780,62.3679,30.0,0.4944,68.10096324388228,2,4,27781.96,0.042,45000,True,72.71010246212121,Low Risk,72,10.083484630681818
105-10-1005,85762.58,771,69.8556,13.0,0.4328,58.123626906204095,1,3,54675.91,0.3662,145000,True,74.3632881060606,Low Risk,72,9.83550678409091
107-10-1007,105809.68,782,71.7588,14.5,0.5212,55.61578603339592,1,2,66077.16,0.3782,0,False,75.83322393939395,Low Risk,72,9.615016409090908
108-10-1008,23165.17,704,97.3123,9.9,0.4088,52.429764082586765,1,1,16337.43,0.3214,53000,True,75.69076632575758,Low Risk,72,9.636385051136363
109-10-1009,54588.93,727,87.8364,12.5,0.4787,34.67612473091779,2,0,39696.74,0.3042,147000,True,76.79204602272728,Low Risk,72,9.471193096590909
110-10-1010,90642.77,762,84.0015,8.1,0.3775,41.066801979859605,1,1,58976.2,0.1932,339000,True,79.48258208333333,Low Risk,72,9.0676126875
111-10-1011,70593.84,762,59.696,8.9,0.4404,53.17878959991446,1,2,38501.39,0.4582,152000,True,69.99261,Low Risk,72,10.4911085
112-10-1012,84713.31,791,76.1358,18.8,0.3954,66.61560351631061,1,1,46589.86,0.3059,317000,True,80.01233579545455,Very Low Risk,84,8.988149630681818
113-10-1013,33508.7,728,58.6788,16.4,0.4777,47.838436467192125,2,0,20170.19,0.417,90000,True,69.03281946969697,Low Risk,72,10.635077079545454
114-10-1014,46977.25,707,89.3731,5.0,0.4622,44.95702442012215,1,3,41391.38,0.1373,63000,True,69.42600541666667,Low Risk,72,10.576099187499999
115-10-1015,59088.95,775,91.5185,9.0,0.4327,51.09916523433238,2,0,31772.72,0.3461,182000,True,80.04151231060607,Very Low Risk,84,8.98377315340909
116-10-1016,103354.4,768,72.3938,13.0,0.4596,44.46836163434455,6,1,66671.63,0.3885,271000,True,76.78801151515152,Low Risk,72,9.471798272727272
117-10-1017,159183.6,786,76.0194,14.5,0.3802,47.226237497186325,0,1,136534.37,0.504,595000,True,79.38815272727274,Low Risk,72,9.081777090909089
118-10-1018,18000.0,745,87.4061,35.7,0.428,49.86793683721714,1,0,10684.68,0.3911,49000,True,76.21840181818182,Low Risk,72,9.557239727272727
119-10-1019,47873.63,718,42.0846,16.1,0.3984,40.71508687404944,3,1,41133.1,0.6124,117000,True,63.91165458333333,Moderate Risk,60,11.4032518125
120-10-1020,37750.34,707,61.232,4.5,0.3803,58.754774544510106,3,0,30673.58,0.3077,132000,True,65.43783083333332,Low Risk,72,11.174325375000002
122-10-1022,72160.59,769,82.0168,7.1,0.3638,38.6708544711718,0,2,25883.61,0.229,222000,True,76.60850579545455,Low Risk,72,9.498724130681818
123-10-1023,61254.76,778,94.8284,13.3,0.343,51.96785220986399,2,1,45324.71,0.3461,229000,True,82.3301434848485,Very Low Risk,84,8.640478477272724
124-10-1024,27299.92,763,88.2624,37.3,0.4664,57.79449861841955,1,0,18652.04,0.1217,84000,True,80.04061303030304,Very Low Risk,84,8.983908045454545
125-10-1025,26379.31,776,93.7092,11.3,0.4628,51.70859768794972,1,2,19662.73,0.0471,57000,True,80.71888700757576,Very Low Risk,84,8.882166948863636
126-10-1026,82727.19,744,86.7718,22.8,0.3872,48.88020477810443,4,3,51095.02,0.3124,175000,True,77.12387170454545,Low Risk,72,9.421419244318182
127-10-1027,27886.9,727,68.5121,14.8,0.5138,47.13953304596872,2,1,23373.77,0.587,0,False,67.46010143939395,Low Risk,72,10.870984784090908
128-10-1028,36814.82,754,86.7002,29.3,0.508,45.69554304669106,2,1,21626.59,0.3392,0,False,75.75289992424243,Low Risk,72,9.627065011363635
129-10-1029,114278.03,780,89.0763,19.4,0.5412,61.51533766912476,4,3,113495.71,0.7135,0,False,74.86929912878787,Low Risk,72,9.75960513068182
130-10-1030,67552.51,784,68.339,24.2,0.4192,53.28154987379627,4,2,62092.49,0.4969,146000,True,74.02548791666668,Low Risk,72,9.886176812499999
131-10-1031,176900.05,763,72.4064,17.6,0.3628,46.373325287636526,3,0,83850.49,0.7052,584000,True,76.45091636363637,Low Risk,72,9.522362545454545
132-10-1032,55554.1,777,71.4393,11.2,0.2379,43.815216820026826,1,3,48883.11,0.2001,134000,True,78.38765962121211,Low Risk,72,9.231851056818183
133-10-1033,285797.89,815,65.4423,27.6,0.2537,56.37511295046341,3,1,168667.27,0.1043,1069000,True,85.01268727272728,Very Low Risk,84,8.238096909090908
134-10-1034,52648.74,742,72.0672,16.7,0.4604,61.20193469454145,2,2,42004.51,0.3517,99000,True,72.31141022727273,Low Risk,72,10.143288465909091
135-10-1035,138477.28,779,84.1862,11.6,0.3901,60.01940499503208,1,2,104416.97,0.2865,427000,True,81.60255818181818,Very Low Risk,84,8.749616272727273
136-10-1036,33258.37,765,83.3308,9.9,0.4637,42.46155928891931,2,1,30406.08,0.093,87000,True,78.65733450757577,Low Risk,72,9.191399823863634
139-10-1039,36801.43,750,68.3166,18.4,0.5303,48.21517250332088,5,2,24788.66,0.389,0,False,69.98857655303031,Low Risk,72,10.491713517045454
140-10-1040,51423.42,757,72.8397,12.1,0.5212,58.63954253726328,2,0,40417.41,0.1379,0,False,76.59540068181818,Low Risk,72,9.500689897727273
141-10-1041,37683.74,763,95.3515,18.1,0.4139,65.21264089666144,7,2,24091.41,0.3975,81000,True,77.9205921969697,Low Risk,72,9.301911170454545
142-10-1042,131540.03,822,78.6111,21.7,0.371,53.67568455846205,2,1,89516.94,0.1927,492000,True,85.44840181818182,Very Low Risk,84,8.172739727272727
143-10-1043,25680.94,715,65.8574,5.8,0.4195,44.08618854456572,0,1,9967.19,0.174,59000,True,67.41811007575757,Low Risk,72,10.877283488636365
145-10-1045,71061.75,735,51.559,20.7,0.5217,67.90873762878103,4,0,57123.98,0.5619,0,False,67.51002443181818,Low Risk,72,10.863496335227273
146-10-1046,68221.83,733,74.0369,7.0,0.3862,50.86048323435111,1,1,28090.9,0.5053,223000,True,70.35850170454546,Low Risk,72,10.436224744318181
148-10-1048,143709.58,776,63.1005,15.6,0.2558,47.89555896024026,3,1,110546.27,0.6933,403000,True,76.14100909090908,Low Risk,72,9.568848636363638
149-10-1049,51355.94,753,74.7742,8.4,0.3693,53.62805309462083,4,3,22825.97,0.4358,124000,True,71.42444356060606,Low Risk,72,10.27633346590909
150-10-1050,36399.38,754,69.2365,13.6,0.4846,42.71409545164678,5,2,6642.99,0.3688,78000,True,71.29784992424243,Low Risk,72,10.295322511363636
152-10-1052,56398.88,722,57.5801,25.8,0.567,59.83312972426944,3,2,35070.82,0.5439,0,False,64.77651878787879,Moderate Risk,60,11.273522181818183
153-10-1053,236231.49,762,80.5665,24.5,0.4552,53.33037594943011,2,2,157296.35,0.3278,509000,True,78.40729999999999,Low Risk,72,9.228905000000001
154-10-1054,113355.14,787,83.2412,16.9,0.604,50.960617020413984,5,0,67887.44,0.2516,0,False,80.78627992424242,Very Low Risk,84,8.872058011363636
155-10-1055,76327.81,762,56.8576,10.6,0.4466,60.45993681836819,2,1,70452.07,0.3556,200000,True,72.69684541666666,Low Risk,72,10.0854731875
156-10-1056,163390.61,789,79.1589,24.7,0.4626,43.602419062766096,1,1,98602.62,0.4223,428000,True,79.78796181818183,Low Risk,72,9.021805727272726
157-10-1057,21685.46,722,76.8109,25.2,0.425,46.895745412550255,1,0,9140.81,0.6202,44000,True,70.54328628787879,Low Risk,72,10.408507056818182
159-10-1059,64308.53,772,98.9933,16.2,0.4339,52.62656395914351,3,1,41532.84,0.3513,168000,True,81.49304571969698,Very Low Risk,84,8.766043142045453
160-10-1060,51929.04,726,65.4549,11.6,0.3418,38.0390684313932,3,2,22258.43,0.5129,140000,True,70.10778090909092,Low Risk,72,10.473832863636362
161-10-1061,49184.27,758,75.834,17.2,0.373,46.05294471267534,3,1,37688.3,0.1391,184000,True,78.3755991287879,Low Risk,72,9.233660130681816
162-10-1062,130519.19,801,70.342,9.4,0.3936,48.44559956014435,5,3,84368.27,0.1405,316000,True,80.0412181818182,Very Low Risk,84,8.98381727272727
163-10-1063,18000.0,718,60.7007,21.5,0.4214,54.12437495881707,3,2,8885.91,0.4021,34000,True,67.14814000000001,Low Risk,72,10.917779
