tax_id,annual_income,savings_balance,payment_history,age,avg_monthly_transactions,avg_transaction_value,digital_banking_score,mobile_banking_usage,online_transactions_ratio,e_statement_enrolled,checking_balance,digital_activity_score,monthly_digital_transactions,customer_category
100-10-1000,45721.36,12727.16,29.7405,55.117679137421625,41.2,36.53,89.8978,89.7562,0.9337,1,1190.78,90.9,38.5,Regular
102-10-1002,42474.53,25897.4,77.4272,47.760165882858416,38.0,91.61,62.6648,58.004,0.671,1,1317.11,62.6,25.5,Preferred
103-10-1003,258907.83,901.54,48.4829,47.76031914711588,49.7,28.71,71.2456,49.7877,0.7541,1,3240.84,66.06,37.5,Regular
104-10-1004,36649.63,47072.71,62.3679,68.10096324388228,41.6,72.05,78.1131,93.6582,0.6625,1,3734.74,79.22,27.6,Preferred
105-10-1005,85762.58,2382.08,69.8556,58.123626906204095,22.2,169.61,52.4147,77.9667,0.7693,1,1783.79,67.43,17.1,Regular
106-10-1006,49440.26,1314.65,39.6795,45.616995134462826,23.1,32.88,59.1581,64.4645,0.7255,1,3315.66,64.77,16.8,Regular
108-10-1008,23165.17,10538.92,97.3123,52.429764082586765,19.0,78.92,54.484,64.4446,0.4223,0,41123.68,53.8,8.0,Regular
109-10-1009,54588.93,1244.23,87.8364,34.67612473091779,41.4,57.98,89.384,86.7912,0.2777,1,1476.1,70.12,11.5,Regular
110-10-1010,90642.77,8316.45,84.0015,41.066801979859605,57.1,31.41,77.7146,75.2276,0.4615,0,2602.85,67.5,26.4,Regular
113-10-1013,33508.7,14326.68,58.6788,47.838436467192125,133.5,78.16,62.6245,29.9743,0.9093,1,1546.59,61.32,121.4,Regular
114-10-1014,46977.25,9309.83,89.3731,44.95702442012215,37.1,48.95,92.3448,62.8229,0.7104,1,2211.48,77.1,26.4,Regular
115-10-1015,59088.95,9169.68,91.5185,51.09916523433238,29.5,18.27,89.4879,54.452,0.5361,1,3520.82,68.21,15.8,Regular
116-10-1016,103354.4,646.44,72.3938,44.46836163434455,31.7,31.16,73.1473,76.2983,0.6619,1,6243.26,72.01,21.0,Regular
117-10-1017,159183.6,23862.74,76.0194,47.226237497186325,68.7,89.08,57.6689,56.4617,0.8839,1,851.43,66.52,60.7,Preferred
118-10-1018,18000.0,21665.0,87.4061,49.86793683721714,51.2,77.09,87.8206,96.635,0.5404,1,6393.46,80.33,27.7,Preferred
119-10-1019,47873.63,4830.19,42.0846,40.71508687404944,31.9,74.37,70.3657,60.1177,0.8066,1,1215.99,70.38,25.7,Regular
