tax_id,age,employment_duration,annual_income,credit_history_length,num_credit_cards,payment_history,late_payments,credit_inquiries,credit_limit,credit_utilization,last_late_payment_days,savings_balance,checking_balance,investment_balance,avg_monthly_transactions,avg_transaction_value,international_transactions_ratio,digital_banking_score,mobile_banking_usage,online_transactions_ratio,e_statement_enrolled,current_debt,monthly_expenses,auto_loan_balance,mortgage_balance,investment_loan_balance,debt_to_income,credit_score
100-10-1000,55.117679137421625,16.2,45721.36,11.1,5,29.7405,0,1,7386.53,0.5813,54.0,1931.64,6257.31,649.22,78.4,78.9,0.1227,72.1969,67.9364,0.8345,1,18580.13,1866.83,3896.82,364193.14,28888.1,120.0,704
101-10-1001,48.66431914340686,15.1,65573.04,14.3,3,74.2827,1,0,9373.63,0.4478,61.0,54467.26,2601.92,3990.92,56.3,81.36,0.1919,58.7373,60.0426,0.5624,1,4329.01,2807.55,14874.43,67892.2,7854.76,120.0,760
102-10-1002,47.760165882858416,20.4,42474.53,6.1,3,77.4272,0,0,50685.05,0.3414,51.0,16283.77,2866.73,5695.41,70.6,78.62,0.2707,65.3279,52.7165,0.5917,1,19394.56,1453.96,4481.09,359698.7,79527.56,120.0,730
103-10-1003,47.76031914711588,3.3,258907.83,6.0,0,48.4829,0,2,11500.57,0.3095,365.0,7891.88,3022.3,286.45,55.1,28.62,0.4936,58.2452,73.0211,0.7161,1,1254.03,9767.59,16820.97,46917.21,15233.16,30.9861,737
104-10-1004,68.10096324388228,30.0,36649.63,13.6,2,62.3679,0,1,7560.13,0.6903,47.0,1297.0,741.64,37594.53,29.1,108.71,0.1338,56.0324,59.9625,0.6313,1,4189.22,2115.8,20228.84,23740.67,7322.14,120.0,720
105-10-1005,58.123626906204095,13.0,85762.58,16.3,1,69.8556,0,0,4600.47,0.0655,103.0,1844.07,1763.95,1635.04,99.9,86.46,0.0887,90.665,91.9423,0.7095,1,25447.41,5509.22,13573.68,40019.18,28659.35,120.0,765
106-10-1006,45.616995134462826,20.4,49440.26,6.3,5,39.6795,0,1,62767.08,0.5017,234.0,9974.46,7263.96,2625.3,35.1,111.35,0.046,82.2554,43.5196,0.8946,1,15450.56,1969.69,735.3,66771.35,102519.73,120.0,695
107-10-1007,55.61578603339592,14.5,105809.68,9.8,1,71.7588,0,0,6199.91,0.5627,221.0,2815.83,2075.98,8644.6,48.8,54.19,0.0912,75.4091,92.5212,0.4544,1,18915.43,4343.84,1984.64,57078.61,110538.93,120.0,764
108-10-1008,52.429764082586765,9.9,23165.17,2.3,1,97.3123,1,1,18769.07,0.3419,121.0,2859.26,1727.74,5116.15,42.2,43.75,0.224,91.4007,60.0799,0.7682,0,7286.06,1272.52,25891.74,268953.38,140094.28,120.0,685
109-10-1009,34.67612473091779,12.5,54588.93,2.8,2,87.8364,1,1,55416.51,0.4367,87.0,4574.51,1834.75,9844.48,98.7,24.3,0.5025,73.8027,55.5711,0.6875,1,5100.44,2442.53,39608.21,35659.37,53722.08,120.0,699
110-10-1010,41.066801979859605,8.1,90642.77,5.3,1,84.0015,0,0,6632.49,0.7285,234.0,1250.35,924.22,20864.87,15.2,61.45,0.1745,62.224,92.3639,0.5409,1,36358.45,5978.67,37329.58,9574.87,71798.64,120.0,710
111-10-1011,53.17878959991446,8.9,70593.84,9.7,1,59.696,0,0,23163.97,0.8876,329.0,5213.12,3549.34,23729.88,23.6,87.7,0.1428,48.4303,41.8457,0.8147,1,72337.55,4107.02,70103.7,155447.75,96534.51,120.0,714
112-10-1012,66.61560351631061,18.8,84713.31,12.7,1,76.1358,0,0,10992.11,0.2541,365.0,2575.1,6834.16,139.55,128.7,67.1,0.2253,93.2112,90.9781,0.4977,1,6682.22,4676.26,15860.39,41577.62,17013.88,95.7749,776
113-10-1013,47.838436467192125,16.4,33508.7,8.7,2,58.6788,1,1,17287.14,0.1511,27.0,19806.4,5310.82,2874.23,62.5,20.19,0.107,62.6069,86.2397,0.9684,0,59162.55,1603.08,61245.73,33213.95,32557.25,120.0,721
114-10-1014,44.957024420122146,5.0,46977.25,7.2,1,89.3731,3,2,32141.71,0.0434,140.0,10832.28,1418.43,1334.91,40.0,48.06,0.1318,46.9975,43.9624,0.5245,1,70904.43,2466.66,18183.3,536822.6,157100.85,120.0,685
115-10-1015,51.09916523433238,9.0,59088.95,14.4,2,91.5185,0,0,47040.62,0.3525,128.0,3257.07,452.85,2664.68,62.0,72.59,0.0633,50.1732,90.4086,0.3933,1,40796.6,2634.31,3377.11,111625.31,32652.48,120.0,747
116-10-1016,44.46836163434455,13.0,103354.4,11.6,6,72.3938,0,1,51073.91,0.3206,7.0,28137.05,6185.55,452.59,68.5,29.16,0.2262,20.0307,75.8048,0.8954,1,14125.09,6295.12,15105.41,214493.53,62973.65,120.0,763
117-10-1017,47.226237497186325,14.5,159183.6,10.3,0,76.0194,1,1,21822.58,0.2222,29.0,18583.44,2881.25,2842.33,54.6,47.15,0.1146,82.4075,83.9315,0.696,1,19812.14,8633.58,116971.21,93511.72,133757.61,120.0,768
118-10-1018,49.86793683721714,35.7,18000.0,4.9,1,87.4061,0,0,20811.38,0.3891,179.0,5608.03,7584.63,85050.31,65.4,24.05,0.101,42.9526,93.9879,0.5636,0,8756.88,730.15,50715.25,63763.73,52430.94,120.0,717
119-10-1019,40.71508687404944,16.1,47873.63,10.6,3,42.0846,1,1,28616.82,0.0894,23.0,1052.51,2007.37,4159.14,170.2,38.82,0.3967,88.0287,47.1393,0.7983,0,7796.92,3479.2,36355.7,15970.29,185899.37,120.0,711
120-10-1020,58.754774544510106,4.5,37750.34,7.8,3,61.232,1,1,4990.89,0.3592,49.0,6289.66,1681.57,11787.77,58.9,119.52,0.0625,63.5254,83.7908,0.5901,1,25848.37,1700.0,21858.17,569936.22,11450.63,120.0,685
121-10-1021,39.46677857478535,14.9,34845.1,3.3,2,81.4254,0,2,4497.65,0.3097,324.0,15867.55,574.16,7931.5,39.7,36.71,0.1809,58.2881,38.0213,0.5801,1,41751.03,1460.29,12036.09,318723.45,40197.04,120.0,704
122-10-1022,38.6708544711718,7.1,72160.59,14.5,0,82.0168,0,1,39036.1,0.5104,80.0,20411.93,6792.05,1975.87,31.3,123.0,0.0559,81.666,71.717,0.8744,1,29455.22,2880.09,38874.07,119098.48,57328.05,120.0,732
123-10-1023,51.967852209863985,13.3,61254.76,18.9,2,94.8284,2,0,3241.01,0.5781,18.0,4539.79,3564.0,75.67,37.2,110.52,0.1791,86.1962,73.1841,0.6215,1,45115.7,2377.73,59378.76,398054.72,14589.72,120.0,736
124-10-1024,57.79449861841955,37.3,27299.92,7.5,1,88.2624,0,0,13655.54,0.2033,38.0,8877.81,13696.56,21592.58,43.1,44.34,0.2209,81.3248,47.0038,0.6235,1,4149.48,1475.96,11317.19,19787.25,12720.52,120.0,741
125-10-1025,51.70859768794972,11.3,26379.31,10.6,1,93.7092,0,1,3742.21,0.5353,127.0,22862.32,1206.1,138.7,88.2,123.04,0.173,84.859,75.2924,0.4908,1,64446.02,1225.42,51862.66,100243.44,47138.9,120.0,749
126-10-1026,48.88020477810443,22.8,82727.19,5.6,4,86.7718,3,0,11700.84,0.5248,1.0,5627.31,2514.99,2625.48,56.7,82.03,0.5478,48.3302,95.2033,0.8131,1,19030.62,4675.73,3401.3,259890.99,27340.6,120.0,705
127-10-1027,47.13953304596872,14.8,27886.9,6.3,2,68.5121,0,1,12688.22,0.0519,177.0,3367.62,21925.06,826.73,46.3,48.65,0.0841,62.2993,50.8539,0.7522,1,17174.87,1398.19,21482.27,305071.28,18605.86,120.0,712
128-10-1028,45.69554304669106,29.3,36814.82,10.2,2,86.7002,0,0,13838.99,0.0346,158.0,16394.64,1098.1,695.77,63.4,139.56,0.0264,55.671,61.8149,0.2001,0,62630.81,1868.57,11085.47,433098.9,33859.86,120.0,759
129-10-1029,61.51533766912476,19.4,114278.03,18.0,4,89.0763,0,1,31936.61,0.3915,111.0,12548.43,4722.96,853.65,67.8,60.19,0.3014,74.5173,41.0323,0.8961,0,9160.76,5502.49,12239.51,120957.23,49662.8,120.0,786
130-10-1030,53.28154987379627,24.2,67552.51,14.7,4,68.339,0,0,2658.56,0.3438,114.0,5950.36,8594.05,356.4,55.9,45.54,0.3124,97.8881,60.9965,0.393,1,7617.64,3007.9,1777.51,141680.67,11156.16,120.0,752
131-10-1031,46.373325287636526,17.6,176900.05,10.5,3,72.4064,2,1,29507.53,0.6118,308.0,17346.66,2496.97,10017.19,42.7,21.5,0.2712,70.9683,56.1565,0.6357,1,4406.59,8914.33,3218.34,289557.21,9558.01,120.0,752
132-10-1032,43.815216820026826,11.2,55554.1,7.4,1,71.4393,0,2,8431.91,0.194,208.0,2763.27,4231.1,571.09,58.5,39.62,0.121,80.7836,55.1954,0.3125,1,44530.43,2446.82,41203.78,352405.35,28774.19,120.0,726
133-10-1033,56.375112950463404,27.6,285797.89,5.9,3,65.4423,0,0,3920.45,0.2666,45.0,7483.37,19879.29,2767.23,45.5,164.26,0.3007,96.3983,68.1866,0.739,1,28401.32,15976.16,21234.6,366956.37,17033.67,120.0,754
134-10-1034,61.20193469454145,16.7,52648.74,6.2,2,72.0672,1,0,11381.89,0.1014,345.0,3321.32,2385.41,6182.2,44.2,76.13,0.1156,92.6292,92.7258,0.524,0,43613.29,1374.26,19122.0,154025.35,149357.03,120.0,726
135-10-1035,60.01940499503208,11.6,138477.28,5.2,1,84.1862,0,1,15366.57,0.1467,73.0,16384.75,4490.86,2475.52,41.5,48.12,0.0478,94.7474,88.8347,0.8455,1,21495.03,6574.45,68602.68,79309.14,41535.74,120.0,768
136-10-1036,42.46155928891931,9.9,33258.37,21.3,2,83.3308,0,0,84280.78,0.4407,74.0,7709.58,5459.7,376.09,46.3,29.76,0.1656,87.2932,52.1781,0.5737,1,9019.29,1652.87,14078.58,834727.84,7769.03,120.0,733
137-10-1037,47.064956316558025,17.0,37982.62,4.7,5,68.7854,1,1,711.1,0.3331,98.0,1200.21,2873.05,1086.06,77.3,63.72,0.0749,83.7358,78.1634,0.677,1,3119.11,1731.04,9461.18,332991.09,14928.79,120.0,692
138-10-1038,45.53093539603251,25.3,195677.89,11.2,2,78.0175,1,0,4043.29,0.1216,147.0,39522.76,1966.37,9298.69,16.2,67.18,0.1877,76.5779,52.6194,0.49,1,37823.37,12043.84,3885.82,293023.2,81211.05,120.0,789
139-10-1039,48.21517250332088,18.4,36801.43,25.8,5,68.3166,0,0,10867.09,0.0887,12.0,17912.63,1920.6,5241.59,32.1,49.81,0.2173,80.9971,78.9644,0.7019,1,42961.57,2159.31,11302.4,711936.46,6486.37,120.0,746
140-10-1040,58.63954253726328,12.1,51423.42,8.3,2,72.8397,0,1,44519.58,0.0704,110.0,15134.93,2973.4,26663.71,91.7,87.74,0.1689,64.0286,65.7472,0.8909,1,48159.29,2998.69,10665.93,1115.77,46231.9,120.0,752
141-10-1041,65.21264089666144,18.1,37683.74,23.7,7,95.3515,0,1,17002.71,0.6227,37.0,11853.4,1488.25,4462.45,47.7,38.13,0.0846,90.6151,59.0422,0.3206,1,183040.74,2247.39,3165.76,191836.95,22335.28,120.0,737
142-10-1042,53.67568455846205,21.7,131540.03,12.8,2,78.6111,0,1,30610.95,0.0814,70.0,36355.54,5041.88,2290.68,54.9,100.61,0.1546,49.8285,66.0055,0.6537,1,4025.92,7307.6,4336.05,76303.72,16111.38,76.6132,821
143-10-1043,44.086188544565715,5.8,25680.94,17.1,0,65.8574,1,1,9619.73,0.703,229.0,12019.09,777.44,71009.33,63.7,108.65,0.326,75.6684,57.1604,0.636,0,73708.63,1386.66,5308.93,45868.85,39364.9,120.0,687
144-10-1044,49.65025987941067,7.2,149529.5,5.6,2,69.6281,0,2,45577.67,0.1416,31.0,1860.66,26485.26,129695.51,60.5,96.8,0.1966,77.157,96.287,0.4279,1,29043.01,9839.24,18928.0,318374.44,3935.92,120.0,739
145-10-1045,67.90873762878103,20.7,71061.75,11.2,4,51.559,2,1,7236.69,0.3705,217.0,9073.11,3962.58,12767.03,46.7,33.87,0.2196,87.799,40.8116,0.5841,1,37472.02,2245.77,10796.23,63161.84,98696.98,120.0,726
146-10-1046,50.86048323435111,7.0,68221.83,8.7,1,74.0369,1,1,3308.26,0.439,135.0,6024.32,2225.44,2189.11,73.4,106.12,0.284,69.524,96.1143,0.5476,1,9952.15,2928.33,22968.31,385903.89,17489.37,120.0,715
147-10-1047,47.158834172978715,13.3,57510.49,5.8,5,90.2673,1,0,6608.52,0.5002,94.0,4474.81,2171.64,2153.06,33.7,171.72,0.3422,57.8813,84.6972,0.6116,1,7672.37,1331.53,1234.87,283917.05,7585.14,120.0,718
148-10-1048,47.89555896024026,15.6,143709.58,9.7,3,63.1005,0,2,18803.97,0.483,95.0,33531.63,7480.94,81878.98,55.5,177.04,0.2333,66.8958,91.8971,0.57,1,11253.83,5335.21,22929.38,102933.54,200.66,95.552,797
149-10-1049,53.62805309462083,8.4,51355.94,16.8,4,74.7742,0,0,22000.69,0.5516,77.0,71315.91,474.76,1979.75,60.6,51.02,0.0964,53.8487,81.871,0.8481,1,10592.43,3117.33,3648.85,173535.37,66617.55,120.0,747
150-10-1050,42.71409545164678,13.6,36399.38,12.2,5,69.2365,0,0,24108.35,0.2163,96.0,16401.05,2036.23,21500.16,69.4,66.87,0.1054,75.6915,79.0987,0.4556,1,97612.87,2054.45,4127.45,154046.21,61393.28,120.0,748
151-10-1051,45.33126762830442,15.7,86189.62,2.9,3,79.0774,0,1,1305.33,0.1977,199.0,4018.55,3222.24,7173.57,34.2,60.83,0.1545,86.1988,53.0777,0.6661,0,12097.5,3372.69,4996.66,65237.38,39339.41,120.0,726
152-10-1052,59.83312972426944,25.8,56398.88,6.1,3,57.5801,0,0,30024.73,0.6186,88.0,45495.61,4133.38,4317.6,33.8,74.69,0.2257,61.5756,70.9182,0.5604,1,12189.86,2531.74,13528.29,256841.47,17766.24,120.0,728
153-10-1053,53.33037594943011,24.5,236231.49,3.2,2,80.5665,2,0,9025.9,0.4831,64.0,963.37,5291.79,413.39,59.6,83.45,0.3698,78.7342,58.8078,0.8611,1,262687.64,13378.44,15089.51,394507.55,105833.24,120.0,717
154-10-1054,50.960617020413984,16.9,113355.14,14.0,5,83.2412,0,1,21183.34,0.577,280.0,6251.35,694.39,5391.31,30.6,26.51,0.3376,60.658,61.0076,0.3704,1,18786.97,5465.38,68243.38,96841.01,89405.97,120.0,767
155-10-1055,60.45993681836819,10.6,76327.81,25.6,2,56.8576,1,0,2418.77,0.1394,85.0,11464.76,3585.51,3338.42,148.6,77.22,0.1678,88.6223,48.6264,0.932,1,20429.41,2251.11,41463.37,54451.94,92130.59,120.0,747
156-10-1056,43.602419062766096,24.7,163390.61,11.2,1,79.1589,1,1,3457.57,0.1911,273.0,1721.61,3471.22,8198.11,50.5,73.23,0.2397,65.8368,46.5226,0.4348,1,19803.06,9289.53,120000.0,569954.56,184356.23,120.0,768
157-10-1057,46.895745412550255,25.2,21685.46,4.8,1,76.8109,1,0,9848.74,0.0797,16.0,3244.37,3158.03,4346.02,45.1,15.37,0.6006,74.19,77.8921,0.8971,1,25254.03,1354.28,707.59,296062.66,39309.73,120.0,698
158-10-1058,52.98994492370314,9.8,88676.03,3.3,3,78.1777,0,1,25210.07,0.3351,231.0,4339.96,11794.79,4567.03,33.8,70.9,0.0608,90.2249,68.6923,0.5471,1,49083.8,5696.44,16991.35,32746.23,65793.98,120.0,716
159-10-1059,52.62656395914351,16.2,64308.53,25.1,3,98.9933,2,1,14417.75,0.63,43.0,19189.94,4897.52,2579.18,169.5,107.55,0.3856,81.3956,87.1484,0.4783,1,46478.72,2382.23,65588.75,93675.11,92217.9,120.0,749
160-10-1060,38.0390684313932,11.6,51929.04,5.4,3,65.4549,0,0,8550.84,0.6404,60.0,8984.37,2117.09,5324.55,88.9,43.48,0.1655,95.315,67.9867,0.8016,0,43356.66,1791.45,4329.51,632356.67,7595.8,120.0,709
161-10-1061,46.05294471267534,17.2,49184.27,6.8,3,75.834,0,1,2125.52,0.2522,199.0,7887.57,5854.02,303.07,61.9,15.0,0.1298,51.2572,35.7564,0.5836,1,16189.23,1824.44,2901.67,122174.97,20817.51,120.0,727
162-10-1062,48.44559956014435,9.4,130519.19,11.3,5,70.342,0,0,14290.38,0.1647,365.0,4897.54,1495.74,861.28,62.1,237.91,0.058,88.8432,87.5952,0.4704,1,39794.71,6821.39,275.3,69026.79,30555.98,106.9979,777
163-10-1063,54.12437495881707,21.5,18000.0,5.9,3,60.7007,1,1,9480.34,0.3788,56.0,13294.72,7187.09,1025.34,34.2,40.6,0.1712,56.0298,73.8416,0.7863,1,1776.68,687.85,17154.31,223555.23,18727.59,120.0,687
164-10-1064,52.59038157063266,17.3,83345.57,8.7,4,84.4605,0,1,14249.49,0.521,9.0,27579.56,3149.79,5439.36,57.8,35.94,0.308,92.9212,75.3295,0.7177,1,5441.84,4060.32,8002.38,12173.26,47269.31,87.4513,784
165-10-1065,49.276110129405026,9.5,21997.71,14.4,1,81.0519,1,2,16515.74,0.2045,55.0,6517.85,4066.66,3325.83,71.7,20.54,0.2053,56.3786,68.7885,0.5353,1,4982.44,1074.09,35593.45,174415.88,41938.96,120.0,716
166-10-1066,34.64130871862922,20.6,50452.03,12.4,3,71.3679,0,0,1002.17,0.1343,53.0,20157.03,389.2,2948.96,17.2,36.83,0.3095,63.2465,47.2255,0.9044,1,73449.88,2648.01,9752.54,49744.51,41715.63,120.0,746
167-10-1067,49.74092048766686,10.6,57802.34,11.9,4,71.6918,0,0,4434.68,0.0878,11.0,22440.91,1724.77,162.43,19.5,686.51,0.3032,92.8989,92.9451,0.7218,1,6467.94,3870.61,17314.23,528004.93,36827.53,120.0,753
168-10-1068,50.593768237393135,5.0,185633.61,9.9,0,90.0015,2,0,9799.04,0.1245,98.0,5334.31,14071.01,1769.48,43.8,49.14,0.2348,80.4236,62.3764,0.5834,1,258136.97,7046.11,13948.59,130872.54,86049.42,120.0,741
169-10-1069,80.71077580135352,8.4,41213.04,11.7,1,83.2632,0,0,39698.35,0.2823,73.0,10622.97,2882.06,30003.97,83.0,67.61,0.1728,84.4494,61.0208,0.6937,0,4847.52,2783.29,29480.98,290315.66,136479.01,120.0,747
170-10-1070,48.15201574490429,22.7,62196.08,18.8,0,91.4707,0,0,9089.62,0.799,44.0,18439.08,7058.16,1153.79,140.3,38.22,0.2101,62.3738,68.0537,0.9062,1,2978.99,3186.24,54069.09,150377.04,11263.8,120.0,746
171-10-1071,53.04641213304299,31.0,25332.38,4.9,2,69.9421,1,0,31510.69,0.6421,55.0,4090.72,6819.88,2176.97,44.3,50.75,0.3175,90.6049,77.4667,0.8238,0,35128.76,969.66,1763.03,1239220.57,110343.03,120.0,686
172-10-1072,62.55415352933584,31.3,85312.45,14.5,0,83.837,1,1,8936.28,0.0625,163.0,12830.73,9980.7,5735.92,41.5,52.97,0.4072,88.3251,43.2613,0.6418,1,88280.63,5696.43,39777.47,47526.73,86948.06,120.0,759
173-10-1073,57.94727602942621,10.9,23582.97,14.7,7,81.9548,1,2,15854.06,0.0856,365.0,14391.19,7662.8,3570.34,83.6,99.98,0.3697,64.8792,78.1267,0.7149,1,17789.43,1392.13,38061.18,150157.34,12865.4,120.0,720
174-10-1074,65.80626585307043,13.3,18000.0,4.8,3,68.7063,1,0,27110.37,0.262,119.0,2444.04,2550.17,7592.55,66.5,87.93,0.2659,61.8604,71.9889,0.5292,1,31228.15,783.86,23699.14,52980.92,64630.88,120.0,691
175-10-1075,38.136183650135266,11.7,20821.73,18.6,1,61.0385,1,2,27281.17,0.296,100.0,3969.23,3892.76,2617.64,46.8,51.56,0.0469,78.4862,65.8722,0.7316,1,4300.27,1248.5,9068.78,24065.66,25165.07,120.0,703
176-10-1076,41.242864017795476,14.6,49085.89,7.6,5,75.5016,1,0,10507.06,0.31,365.0,3848.97,1549.89,1947.02,52.6,38.53,0.182,74.4701,74.9459,0.893,1,14831.53,1775.77,52018.67,490802.98,22479.54,120.0,721
177-10-1077,44.76595277614844,6.9,50833.59,7.6,0,87.4249,0,0,11289.68,0.2735,157.0,2963.29,2888.8,445.19,63.6,109.68,0.244,78.9883,70.8195,0.5531,1,11600.08,2859.41,9412.55,124524.62,34606.82,120.0,713
178-10-1078,37.08436885492745,11.1,132495.02,7.5,2,66.6632,1,1,13314.82,0.5336,105.0,33999.47,591.24,80133.23,54.3,37.94,0.5707,58.2989,46.4082,0.4758,1,14093.64,5200.1,17186.25,214835.91,22193.27,120.0,761
179-10-1079,50.67648906068963,16.2,173774.12,26.6,3,85.9045,0,0,19604.58,0.3852,218.0,10274.38,694.51,3975.64,30.0,91.26,0.3895,74.2103,52.8585,0.8695,1,50031.43,10721.06,14440.72,189054.33,69632.41,120.0,781
180-10-1080,41.81041820127427,22.8,170868.51,10.1,5,95.1904,1,2,3566.52,0.0432,222.0,14880.95,1768.24,2475.18,7.3,120.17,0.2375,90.7195,63.2435,0.587,1,22993.5,10817.17,955.46,91044.43,1496.09,68.1749,803
181-10-1081,67.71516308490693,16.9,133988.59,8.8,1,58.9902,1,1,11889.73,0.3387,35.0,363749.74,3426.45,135.38,70.4,129.54,0.0901,59.0076,70.2288,0.364,1,113732.82,8292.92,12755.54,40004.73,8676.5,120.0,768
182-10-1082,42.92285465523361,13.0,255966.08,10.5,7,83.6233,2,0,1601.04,0.4558,55.0,1966.7,3276.56,15018.7,23.5,69.56,0.0985,56.5473,86.1901,0.2895,1,45863.79,12027.74,24816.11,203432.38,108092.55,120.0,740
183-10-1083,46.947041623932705,8.5,82351.58,9.6,3,85.1798,1,0,6007.45,0.4163,25.0,15890.84,2365.28,2369.15,36.4,38.49,0.4758,79.2903,57.7989,0.6158,1,60918.48,4418.76,18086.88,267942.83,9390.05,120.0,744
184-10-1084,58.650935118377824,23.4,83196.22,9.2,2,70.0902,1,1,5269.87,0.3872,35.0,1199.57,713.2,23930.98,94.6,21.31,0.1602,96.1896,38.2416,0.3757,1,11494.68,5865.36,5278.58,258940.2,36022.75,120.0,744
185-10-1085,39.39162736040571,6.3,215113.33,8.0,4,92.8956,2,1,42391.8,0.0782,25.0,3223.98,1317.7,643.57,65.5,31.64,0.352,66.0275,89.8362,0.6984,0,100736.15,10753.59,5901.36,171974.3,98535.85,120.0,739
186-10-1086,36.69263445040831,7.1,27445.54,23.4,4,84.8517,3,0,6935.07,0.3629,166.0,17524.19,5603.45,3582.47,84.0,21.29,0.1865,68.7418,47.7713,0.849,1,123105.7,1692.9,295.39,83689.43,11547.58,120.0,697
187-10-1087,51.843338762124986,19.6,115598.78,9.4,2,71.7865,1,0,14488.36,0.1519,327.0,3596.8,12985.99,7443.06,33.7,69.78,0.0443,89.6038,42.0237,0.7035,0,123664.22,7625.49,60388.92,643838.5,37051.95,120.0,762
188-10-1088,52.614457161474085,20.9,57929.69,6.6,2,68.3594,0,3,27292.09,0.4268,32.0,28027.34,2719.76,2433.65,100.8,77.82,0.0238,68.5782,58.5634,0.5169,0,14908.39,2884.99,6884.14,102745.47,49637.03,120.0,730
189-10-1089,58.287773465259875,3.2,152242.91,21.5,0,73.4892,0,0,16222.44,0.3521,68.0,3107.89,727.03,321.14,102.7,61.22,0.0717,61.8903,77.1373,0.5778,1,9914.08,4802.56,905.74,271855.04,56473.46,120.0,739
190-10-1090,55.39122240729929,13.0,136933.68,14.9,3,85.5837,0,1,21294.59,0.1814,44.0,22628.72,18526.33,978.81,61.2,42.22,0.25,60.1427,93.4188,0.9627,0,7783.53,5422.54,47477.61,22711.69,25794.89,75.7795,818
191-10-1091,52.99893467809582,4.5,53367.77,18.2,1,65.4667,0,2,11121.78,0.2376,56.0,45756.87,1675.52,390.66,68.1,47.27,0.1322,75.5382,85.4652,0.8454,1,9798.07,3316.76,3780.39,62393.45,2491.27,120.0,734
192-10-1092,43.78888093996335,13.4,25761.98,6.5,5,91.9283,2,0,15979.26,0.3711,141.0,8043.2,5767.65,5337.66,53.6,112.65,0.3702,88.2699,73.7753,0.6869,1,29473.0,884.04,120000.0,61038.3,47201.81,120.0,709
193-10-1093,52.32998019278649,12.0,153994.89,10.6,2,81.2248,0,1,35193.83,0.3921,95.0,15481.99,3601.05,1186.02,45.3,123.43,0.2595,26.6463,48.7048,0.7608,1,9848.35,10426.9,38907.94,247195.78,34391.18,120.0,776
194-10-1094,52.958259926908255,27.7,42993.64,18.3,3,56.9,2,1,92753.66,0.5547,114.0,22086.78,4825.93,224.01,87.1,35.92,0.0681,58.4447,78.7701,0.4205,1,17807.64,1975.89,8785.43,356733.37,97148.9,120.0,712
